iso3,year,cause,sex,all,a00,a01,a05,a10,a15,a20,a25,a30,a35,a40,a45,a50,a55,a60,a65,a70,a75,a80,a85,age,any_year_reason,unk
MEX,2013,670,1,4074,1,2,0,3,8,15,19,19,47,51,99,180,348,428,569,670,700,506,403,0,0,6
MEX,2013,681,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2012,740,1,663,0,1,0,0,0,2,0,3,5,10,17,32,47,66,67,119,106,99,89,0,0,0
MEX,2013,700,2,3694,0,0,0,0,0,8,56,121,229,289,425,404,405,404,320,308,278,225,221,0,0,1
MEX,2013,720,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,730,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,741,1,1165,2,34,58,39,30,35,43,49,46,57,74,107,106,108,115,104,84,48,26,0,0,0
MEX,2013,742,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,743,2,99,0,0,0,0,0,0,1,2,4,1,4,3,10,14,8,9,9,18,16,0,0,0
MEX,2013,744,1,194,0,0,0,0,0,0,1,4,4,3,9,15,26,22,22,32,28,20,8,0,0,0
MEX,2013,744,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,745,1,165,0,0,0,0,1,0,1,2,4,2,13,20,19,24,17,25,17,13,7,0,0,0
MEX,2013,800,2,5430,191,80,47,55,42,63,75,98,143,172,196,286,327,361,444,436,550,619,1242,0,0,3
MEX,2014,220,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,850,1,1084,50,52,29,31,45,70,88,79,97,93,69,81,48,55,44,45,44,35,29,0,0,0
MEX,2014,1380,2,83,14,0,1,1,5,21,10,7,7,3,3,1,2,0,1,1,2,2,2,0,0,0
MEX,2013,860,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,870,1,1133,5,6,0,0,1,1,5,4,11,9,15,25,19,49,50,104,155,253,420,0,0,1
MEX,2009,990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,880,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,890,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,910,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,1570,2,698,0,0,0,52,169,111,69,56,56,47,34,34,22,14,14,5,4,2,5,0,0,4
MEX,2013,920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,940,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,960,1,10,1,0,3,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
MEX,1999,1520,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,970,2,2009,88,107,81,96,95,95,86,67,72,86,95,114,121,122,139,121,131,118,171,0,0,4
MEX,2003,612,2,18,0,0,0,0,1,0,1,0,1,0,2,2,1,2,2,3,3,0,0,0,0,0
MEX,2013,980,2,8,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0
MEX,2013,1000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,1010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2017,950,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2003,611,1,323,0,1,0,0,1,1,2,5,3,12,19,17,29,41,47,47,37,27,34,0,0,0
MEX,2004,740,2,261,0,0,0,0,0,2,0,0,1,4,7,15,14,24,16,41,45,44,48,0,0,0
MEX,2013,1070,2,33054,1,0,1,0,33,56,72,101,166,311,547,848,1217,1785,2383,3155,4205,5422,12710,0,0,41
MEX,2003,580,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEX,2013,1130,2,771,15,18,4,10,9,14,13,11,20,30,31,41,26,35,51,67,97,105,173,0,0,1
MEX,2013,1150,2,21207,232,108,38,57,78,116,153,234,375,570,839,1258,1637,1977,2261,2460,2650,2590,3571,0,0,3
MEX,2013,1160,1,1282,0,1,0,1,5,5,5,15,21,25,37,45,66,105,108,168,177,183,311,0,0,4
MEX,2013,1182,1,848,36,12,8,4,11,11,5,13,14,17,17,19,36,51,62,104,122,134,171,0,0,1
MEX,2010,744,2,426,0,0,0,0,1,3,4,4,4,8,27,35,39,54,48,46,62,37,54,0,0,0
MEX,2003,320,1,9,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MEX,2002,630,2,2367,0,1,1,1,2,7,22,43,70,119,122,146,196,237,225,326,306,246,291,0,0,6
MEX,2008,1280,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,1290,1,64,0,1,0,0,0,2,2,1,2,2,3,6,4,6,9,8,9,3,6,0,0,0
MEX,2013,1320,2,96,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
