Participant,Item,SentType,Rating,TrialOrder
1,63,2-word-order-errors,1,35
1,59,2-word-order-errors,2,42
1,57,2-word-order-errors,1,44
1,64,2-word-order-errors,1,46
1,58,2-word-order-errors,1,52
1,62,2-word-order-errors,1,62
1,60,2-word-order-errors,1,68
1,61,2-word-order-errors,1,73
1,36,be-drop,1,19
1,37,be-drop,1,39
1,33,be-drop,1,65
1,34,be-drop,1,69
1,39,be-drop,1,85
1,35,be-drop,2,87
1,38,be-drop,1,94
1,40,be-drop,1,99
1,65,causative,6,9
1,66,causative,7,25
1,71,causative,5,28
1,67,causative,7,50
1,72,causative,5,53
1,68,causative,7,80
1,69,causative,6,82
1,70,causative,5,84
1,78,factive-say,6,16
1,77,factive-say,6,34
1,76,factive-say,7,38
1,75,factive-say,7,54
1,79,factive-say,7,56
1,80,factive-say,5,76
1,73,factive-say,7,88
1,74,factive-say,7,92
1,7,like,1,20
1,19,like,1,26
1,15,like,1,29
1,3,like,1,32
1,31,like,1,43
1,11,like,1,79
1,27,like,1,81
1,23,like,1,86
1,12,need,1,7
1,4,need,1,10
1,20,need,1,47
1,8,need,1,67
1,24,need,1,93
1,16,need,1,96
1,32,need,1,98
1,28,need,1,100
1,41,negative-concord,3,27
1,47,negative-concord,4,31
1,48,negative-concord,5,41
1,42,negative-concord,5,57
1,43,negative-concord,4,59
1,46,negative-concord,4,61
1,45,negative-concord,4,63
1,44,negative-concord,5,74
1,81,non-factive-believe,7,8
1,84,non-factive-believe,7,12
1,86,non-factive-believe,6,13
1,87,non-factive-believe,6,37
1,83,non-factive-believe,5,58
1,88,non-factive-believe,6,90
1,82,non-factive-believe,7,95
1,85,non-factive-believe,7,97
1,89,raising-seem,5,5
1,90,raising-seem,5,6
1,96,raising-seem,6,11
1,91,raising-seem,6,21
1,92,raising-seem,5,23
1,93,raising-seem,6,33
1,94,raising-seem,7,66
1,95,raising-seem,5,78
1,56,singular-dont,1,14
1,55,singular-dont,1,17
1,53,singular-dont,1,22
1,52,singular-dont,4,30
1,50,singular-dont,3,45
1,54,singular-dont,3,48
1,49,singular-dont,4,71
1,51,singular-dont,5,91
1,1,need,1,18
1,5,need,1,36
1,21,need,1,49
1,13,need,1,51
1,25,need,1,60
1,9,need,1,64
1,29,need,1,70
1,17,need,1,75
1,30,want,1,15
1,22,want,1,24
1,26,want,1,40
1,10,want,1,55
1,6,want,1,72
1,14,want,1,77
1,18,want,1,83
1,2,want,1,89
2,60,2-word-order-errors,1,6
2,57,2-word-order-errors,1,28
2,64,2-word-order-errors,2,29
2,61,2-word-order-errors,2,31
2,63,2-word-order-errors,1,36
2,59,2-word-order-errors,2,50
2,62,2-word-order-errors,1,68
2,58,2-word-order-errors,1,90
2,39,be-drop,1,23
2,38,be-drop,2,24
2,34,be-drop,2,35
2,36,be-drop,2,40
2,37,be-drop,2,72
2,40,be-drop,1,75
2,33,be-drop,2,76
2,35,be-drop,1,88
2,71,causative,6,5
2,68,causative,7,19
2,67,causative,6,59
2,70,causative,7,73
2,66,causative,7,78
2,65,causative,7,81
2,72,causative,7,94
2,69,causative,7,99
2,75,factive-say,7,12
2,79,factive-say,7,21
2,80,factive-say,7,45
2,73,factive-say,6,52
2,78,factive-say,6,66
2,76,factive-say,7,69
2,77,factive-say,7,84
2,74,factive-say,7,86
2,23,like,1,11
2,11,like,1,27
2,3,like,1,39
2,27,like,3,62
2,15,like,1,77
2,7,like,2,80
2,31,like,2,89
2,19,like,1,97
2,8,need,2,13
2,32,need,2,16
