Participant,Item,SentType,Rating,TrialOrder
8,59,2-word-order-errors,2,15
8,57,2-word-order-errors,1,42
8,58,2-word-order-errors,1,46
8,62,2-word-order-errors,1,60
8,63,2-word-order-errors,1,62
8,64,2-word-order-errors,1,71
8,61,2-word-order-errors,1,77
8,60,2-word-order-errors,1,94
8,37,be-drop,7,18
8,39,be-drop,7,23
8,35,be-drop,1,54
8,40,be-drop,1,67
8,34,be-drop,1,69
8,33,be-drop,1,79
8,36,be-drop,1,91
8,38,be-drop,1,97
8,72,causative,7,8
8,70,causative,7,29
8,71,causative,7,63
8,68,causative,6,73
8,67,causative,7,84
8,65,causative,7,88
8,66,causative,7,95
8,69,causative,7,99
8,79,factive-say,7,21
8,73,factive-say,7,36
8,76,factive-say,7,40
8,78,factive-say,7,44
8,80,factive-say,7,50
8,77,factive-say,7,51
8,75,factive-say,7,90
8,74,factive-say,7,92
8,20,like,1,6
8,8,like,7,31
8,4,like,1,41
8,32,like,4,49
8,16,like,4,53
8,28,like,6,66
8,24,like,2,68
8,12,like,7,87
8,14,need,3,12
8,22,need,7,17
8,25,need,7,20
8,18,need,7,24
8,17,need,7,26
8,1,need,7,34
8,5,need,3,43
8,6,need,1,45
8,13,need,7,59
8,26,need,7,61
8,2,need,7,64
8,21,need,7,82
8,9,need,7,89
8,29,need,7,93
8,30,need,7,96
8,10,need,7,98
8,42,negative-concord,1,7
8,46,negative-concord,2,22
8,41,negative-concord,1,27
8,44,negative-concord,1,28
8,43,negative-concord,1,30
8,47,negative-concord,1,48
8,48,negative-concord,1,52
8,45,negative-concord,1,75
8,82,non-factive-believe,5,5
8,83,non-factive-believe,7,9
8,88,non-factive-believe,7,35
8,86,non-factive-believe,7,38
8,85,non-factive-believe,7,57
8,81,non-factive-believe,7,78
8,84,non-factive-believe,7,83
8,87,non-factive-believe,7,86
8,91,raising-seem,5,11
8,90,raising-seem,6,13
8,92,raising-seem,7,14
8,89,raising-seem,7,16
8,93,raising-seem,7,19
8,94,raising-seem,7,39
8,96,raising-seem,7,47
8,95,raising-seem,5,72
8,52,singular-dont,7,10
8,55,singular-dont,1,25
8,56,singular-dont,1,32
8,53,singular-dont,1,33
8,49,singular-dont,1,55
8,51,singular-dont,2,58
8,54,singular-dont,1,65
8,50,singular-dont,1,81
8,3,want,5,37
8,27,want,5,56
8,7,want,3,70
8,19,want,4,74
8,23,want,3,76
8,11,want,7,80
8,15,want,7,85
8,31,want,7,100
10,64,2-word-order-errors,1,9
10,60,2-word-order-errors,4,18
10,62,2-word-order-errors,4,81
10,63,2-word-order-errors,4,84
10,61,2-word-order-errors,1,88
